player_id,name,team_id,position,birth_date,nationality
309505,R. Walters,42,Defender,2004-12-16,England
313236,E. Nwaneri,42,Midfielder,2007-03-21,England
313245,M. Lewis-Skelly,42,Midfielder,2006-09-26,England
194645,S. Sambo,44,Defender,2001-08-19,Netherlands
83,A. Danjuma,45,Attacker,1997-01-31,Netherlands
172,D. Alli,45,Midfielder,1996-04-11,England
894,A. Young,45,Defender,1985-07-09,England
895,J. Garner,45,Midfielder,2001-03-13,England
2936,J. Tarkowski,45,Defender,1992-11-19,England
2990,I. Gueye,45,Midfielder,1989-09-26,Senegal
18765,André Gomes,45,Midfielder,1993-07-30,Portugal
18766,D. Calvert-Lewin,45,Attacker,1997-03-16,England
18805,A. Doucouré,45,Midfielder,1993-01-01,Mali
18929,D. McNeil,45,Attacker,1999-11-22,England
19128,J. Harrison,45,Midfielder,1996-11-20,England
125743,Beto,45,Attacker,1998-01-31,Portugal
138417,N. Patterson,45,Defender,2001-10-16,Scotland
153425,L. Dobbin,45,Attacker,2003-01-03,England
162714,A. Onana,45,Midfielder,2001-08-16,Belgium
167657,T. Onyango,45,Midfielder,2003-03-04,England
284266,L. Warrington,45,Midfielder,2002-10-10,England
297641,J. Metcalfe,45,Midfielder,2004-09-06,England
298099,M. Hunt,45,Midfielder,2001-11-14,England
330412,Youssef Chermiti,45,Attacker,2004-05-24,Portugal
8694,W. Faes,46,Defender,1998-04-03,Belgium
15870,M. Hermansen,46,Goalkeeper,2000-07-11,Denmark
18146,D. Ward,46,Goalkeeper,1993-06-22,Wales
18741,C. Coady,46,Defender,1993-02-25,England
18771,Ricardo Pereira,46,Defender,1993-10-06,Portugal
18777,M. Albrighton,46,Midfielder,1989-11-18,England
18779,H. Choudhury,46,Midfielder,1997-10-01,England
18786,W. Ndidi,46,Midfielder,1996-12-16,Nigeria
18943,J. Vestergaard,46,Defender,1992-08-03,Denmark
19760,J. Justin,46,Defender,1998-02-23,England
20079,H. Souttar,46,Defender,1998-10-22,Australia
148099,K. Dewsbury-Hall,46,Midfielder,1998-09-06,England
152970,J. Stolarczyk,46,Goalkeeper,2000-12-19,Poland
278118,B. Nelson,46,Defender,2004-03-18,England
283289,A. Raikhy,46,Midfielder,2002-10-20,England
283290,K. McAteer,46,Midfielder,2001-11-22,England
284487,Wanya Marçal,46,Midfielder,2002-10-19,Portugal
284530,B. Cover,46,Midfielder,2003-09-25,Jamaica
305733,W. Alves,46,Midfielder,2005-05-04,England
350626,L. Briggs,46,Midfielder,2005-02-07,England
180,O. Skipp,47,Midfielder,2000-09-16,England
